3.76,3.74,3.72,4.26,3.69,3.72,3.78,3.76,3.77,3.69,3.75,3.73,3.72,3.75,3.76,3.75,3.72,3.77,3.78,3.75,Not moving
9.63,9.6,9.59,9.6,9.62,9.62,9.6,9.61,9.6,9.6,9.63,9.6,9.63,9.59,9.65,9.63,9.59,9.61,9.61,9.66,Not moving
12.54,12.54,12.58,12.55,13.02,10.1,13.05,13.02,13.04,12.42,13.04,13.03,13.06,16.69,13.04,13.03,13.03,13.02,13.03,13.04,Not moving
2.35,2.32,2.37,2.37,2.36,2.37,2.34,2.38,2.31,2.35,2.35,2.35,2.38,2.35,1.49,2.36,2.33,2.38,2.36,2.38,Not moving
6.66,6.66,6.69,6.69,6.68,6.65,6.62,6.67,6.68,2.15,6.69,6.67,6.68,6.65,6.69,6.71,6.68,6.67,6.64,6.69,Not moving
10.4,10.42,10.39,10.38,10.36,10.34,10.37,10.84,10.39,10.87,10.86,10.85,10.83,10.82,10.86,10.86,10.86,10.84,10.93,10.86,Not moving
15.1,15.09,15.11,15.1,15.1,15.39,15.13,15.11,15.13,15.16,15.17,15.11,15.12,15.17,15.15,15.14,15.1,14.99,15.14,15.17,Not moving
6.22,6.31,6.3,6.32,6.3,6.35,5.74,6.31,6.33,6.35,6.31,7.06,6.26,6.33,6.28,6.3,6.31,6.31,6.3,6.3,Not moving
2.84,2.8,2.85,2.82,2.84,2.87,2.85,2.85,3.93,2.86,2.87,2.86,2.83,3.28,2.81,2.87,2.85,2.85,2.84,2.85,Not moving
9.09,9.07,9.04,9.11,9.09,10.16,9.05,9.5,9.56,9.09,8.08,9.5,9.11,9.1,9.49,9.06,9.47,8.38,9.5,9.11,Not moving
16.81,16.82,16.78,16.76,16.81,16.85,16.78,16.78,16.82,16.79,16.79,16.83,16.84,16.78,16.79,16.83,16.81,16.76,16.8,17.05,Not moving
13.37,13.39,13.42,13.79,13.82,13.84,13.84,13.82,13.79,13.83,13.79,13.83,13.78,13.78,13.84,13.35,13.84,13.8,13.79,13.8,Not moving
6.82,6.8,6.81,6.8,6.75,6.75,6.81,6.81,6.83,6.79,6.8,6.83,6.78,6.81,6.75,6.8,6.8,6.81,6.81,6.81,Not moving
8.81,8.77,8.79,8.8,8.8,8.74,8.77,8.77,8.75,8.81,8.73,8.76,8.78,8.76,8.8,8.77,8.76,8.77,8.77,8.77,Not moving
4.03,4.21,4.02,4.03,4.82,4.06,4,4.06,4.02,4.04,4.05,2.85,4.03,4.03,4.04,4.02,4.03,4.01,4.07,4.02,Not moving
12.67,12.65,12.69,12.24,12.66,12.23,12.21,12.22,12.26,13.14,12.65,12.25,12.3,12.24,12.7,9.97,12.69,12.23,12.29,12.65,Not moving
13.24,10.28,10.34,10.3,10.37,10.33,10.34,10.33,10.32,10.29,10.35,10.34,10.37,10.33,10.33,10.34,10.37,10.33,10.37,10.34,Not moving
6.55,6.54,6.54,6.56,6.55,6.53,6.55,6.55,6.6,6.52,6.55,6.55,6.55,6.54,6.55,6.53,6.53,6.58,6.55,6.55,Not moving
3.23,3.19,3.19,3.19,3.23,3.22,3.16,3.21,3.19,3.16,3.22,3.2,3.2,3.22,3.22,3.23,3.21,3.2,3.17,3.19,Not moving
14.73,14.81,14.74,14.34,14.3,14.74,15.24,18.77,15.24,15.3,15.25,15.21,15.27,14.82,14.83,15.97,15.68,15.72,15.71,15.3,Not moving
1.72,2.22,2.16,2.38,2,2.63,2.8,2.2,3.27,2.97,3.26,3.42,4.12,4.18,4.85,4.6,4.75,4.51,5.17,5.41,Moving away slowly
1.59,1.8,2.31,2.47,2.58,2.85,3.02,2.81,2.9,3.46,3.22,3.32,3.54,4.02,4.13,4.3,4.43,4.67,4.7,5.13,Moving away slowly
1.73,1.75,2.4,2.66,2.69,2.8,3.08,3.69,3.32,3.01,3.47,3.69,3.96,4.23,4.7,4.89,4.98,5.06,5.58,5.42,Moving away slowly
6.46,2.34,1.14,1.68,2.22,1.89,2.09,2.35,2.51,2.62,2.66,2.34,2.4,2.47,2.81,3.03,3.23,3.89,3.41,3.48,Moving away slowly
1.83,1.95,1.62,1.8,2.15,1.93,2.47,2.2,2.34,2.44,3.09,3.21,8.42,3.46,3.12,3.14,3.12,3.33,3.34,3.64,Moving away slowly
3.48,1.96,2.09,1.75,2.08,1.75,2.29,2.38,1.66,5.48,2.5,2.7,2.74,2.93,3.04,2.79,3.13,3.28,4.01,3.72,Moving away slowly
2.53,2.65,2.96,3.37,3.46,3.67,3.28,3.86,3.71,4.26,4.41,4.55,4.62,5.3,4.55,5.18,5.5,5.99,5.72,5.89,Moving away slowly
4.93,5.21,5.05,6.13,5.98,6.38,6.65,6.29,6.97,8.54,7.29,7.57,7.36,7.14,7.5,8.07,8.28,8.45,8.63,8.79,Moving away slowly
2.45,2.98,3.19,3.23,3.08,3.34,4.06,3.81,3.91,4.31,4.18,4.18,4.71,4.84,4.97,4.64,5.24,4.94,4.96,5.54,Moving away slowly
2.89,3.21,2.96,3.26,3.88,3.65,3.94,3.78,4.54,4.64,4.87,4.63,5.16,5.43,5.54,5.84,5.57,5.83,6.62,7.43,Moving away slowly
2.59,2.79,2.94,3.21,3.89,1.88,3.29,3.86,3.66,4.31,4.56,4.22,4.84,4.99,6.13,5.2,5.51,6.13,5.85,5.94,Moving away slowly
2.38,2.51,2.68,2.89,3.05,2.88,4.07,3.8,4.04,4.2,3.91,4.36,4.56,4.72,5.18,5,4.62,5.15,5.27,3.12,Moving away slowly
3.61,3.95,4.22,4.42,4.72,4.63,5.32,5.47,5.74,5.47,6.08,6.23,6.54,6.9,6.8,7.03,7.16,7.42,7.55,7.44,Moving away slowly
1.44,1.99,2.21,2.03,2.57,2.76,2.97,3.06,2.8,2.98,3.04,3.23,3.37,3.52,3.68,3.83,3.97,4.11,4.32,4.77,Moving away slowly
1.82,1.43,2.01,2.08,2.08,2.17,2.19,2.23,2.34,2.06,2.62,2.65,2.36,2.46,2.97,2.6,2.66,3.26,3.34,3.46,Moving away slowly
3.21,3.21,3.37,3.38,3.5,3.61,3.76,3.37,4.01,4.02,3.74,4.35,7.91,4.51,5.96,4.57,4.61,4.69,4.83,4.98,Moving away slowly
3.92,3.65,4.4,4.4,4.54,4.24,4.78,4.95,4.54,5.1,5.32,5.39,5.05,5.61,5.76,5.43,5.94,6.61,5.8,6.39,Moving away slowly
3.72,4.34,4.49,4.57,4.27,4.83,4.93,4.65,5.15,5.43,5.48,5.57,5.69,5.86,5.48,6.05,3.92,6.2,6.06,5.91,Moving away slowly
4.76,4.91,4.59,5.19,5.32,5.02,6.17,5.45,5.94,6.59,6.24,6.3,6.39,6.52,6.73,6.75,6.93,6.68,7.24,7.29,Moving away slowly
4.15,4.24,4.26,4.39,4.47,7.14,4.05,4.67,4.22,4.74,4.82,4.95,4.56,3.58,4.62,5.15,5.27,5.33,5.3,4.97,Moving away slowly
3.25,3.89,4.93,5.77,6.62,8.37,10.01,10.53,12.37,14.16,15.5,17.02,18.69,21.29,23.5,26.46,28.7,30.77,32.85,34.65,Moving away fast
3.04,3.9,4.98,5.49,7.81,9.1,10.56,12.45,13.71,16.16,21.51,24.76,28.25,32.34,35.76,73.42,40.7,40.93,81.55,80.8,Moving away fast
3.25,3.94,4.16,5.32,6.45,7.51,7.74,8.91,10.5,11.6,13.07,14.32,17.07,16.54,20.06,21.13,23.48,24.32,25.74,27.32,Moving away fast
4.07,4.53,5.45,6.44,7.93,9.34,10.12,11.38,13.53,14.02,16.03,20.34,20.99,20.94,23.33,25.46,26.37,27.23,28.78,30.5,Moving away fast
3.78,4.24,4.22,5.13,4.97,5.89,6.95,7.29,7.87,8.3,8.75,9.17,9.6,11.2,12.97,13.4,12.62,13.76,13.96,15.44,Moving away fast
4,4.39,4.94,4.56,6.56,6.78,7.72,9.33,11.04,10.07,13.6,12.73,15.73,20.22,22.42,24.26,26.09,27.43,28.91,29.88,Moving away fast
2.89,2.91,3.84,4.13,4.88,6.27,6.66,8.64,10.58,14,14.23,16.29,18.27,22.95,27.58,31.93,34.96,35.28,35.8,70.89,Moving away fast
2.47,3.45,4.3,6.09,7.29,9.14,9.67,12.6,13.17,15.24,16.53,18.27,24.1,26.25,28.16,34.15,36.53,38.52,69.45,73.44,Moving away fast
4.64,5.41,6.69,7.79,8.75,9.73,12.59,13.86,14.74,16.11,17.75,20.46,24.88,27.42,30.07,32.61,35.74,40.7,42.22,44.88,Moving away fast
2.38,2.23,3.07,3.09,3.55,3.99,4.64,5.43,7.54,9.86,11.31,14.38,16.84,17.1,21.37,26.59,31.68,38.09,69.83,71.25,Moving away fast
1.61,2.54,3.75,4.75,6.4,8.75,11.1,13.3,14.03,14.79,16.28,19.13,22.77,26.69,30.64,33.28,35.28,37.18,45.29,43.96,Moving away fast
2.09,3.07,4.31,6.13,7.47,8.5,11.06,13.35,14.69,20.25,23.22,25.82,30.14,33.77,36.45,41.22,43.18,46.53,49.43,55.87,Moving away fast
3.79,4.54,5.37,7.11,8.07,9.65,10.82,10.95,13.4,15.08,15.97,17.88,21.31,24.6,28.93,32.69,35.6,37.73,41.2,45.5,Moving away fast
3.03,3.72,4.47,5.88,7.59,9.87,12.82,8.57,14.13,14.97,17.56,21.75,29.98,30.26,34.03,39.72,43.46,48.33,68.67,70.55,Moving away fast
2.67,3.31,4.47,6.53,8.39,9.74,12.25,14.33,18.04,23.87,28.34,30.55,35.58,40,45.28,72.68,53.11,90.75,68.59,69.71,Moving away fast
3.75,4.4,2.82,6.64,7.28,8.94,10.05,12.45,16.09,22.24,30.09,34.96,37.58,44.6,78.35,74.05,68.26,71.06,70.75,76.88,Moving away fast
2.89,3.63,4.58,5.65,5.83,6.4,8.84,9.31,10.19,12.53,13.44,14.23,16.82,21.5,26.26,29.77,33.54,37.1,43.7,72.72,Moving away fast
3.19,3.79,5.65,6.84,8.87,11.19,13,14.43,18.52,25.73,31.13,34.89,41.61,46.61,49.87,75.2,72.32,73.19,202.48,72.4,Moving away fast
10.5,4.94,6.18,10.39,13.56,13.37,16.43,17.95,22.66,26.78,31.71,37.03,42.54,48,55.89,58.27,62.17,75.5,96.14,70.73,Moving away fast
3.78,4.6,7.88,11.85,14.64,12.07,17.38,21.16,25.49,29.27,32.9,38.18,43.87,46.61,49.1,53.95,58.18,62.85,67.15,73.81,Moving away fast
15.69,16.04,16.51,14.76,14.06,14.18,13.74,12.61,13.71,12.51,12.08,11.06,10.75,10.45,11.13,10.84,9.61,9.76,10.73,10.12,Moving towards slowly
11.47,11.37,12.08,11.93,10.53,9.74,9.95,9.29,9.69,9.58,0.62,8.81,8.37,8.17,7.57,8.02,8.47,7.27,7.17,6.99,Moving towards slowly
10.82,10.07,8.94,8.44,8.03,8.54,8.06,7.62,7.78,7.08,7.37,6.6,6.46,5.93,6.06,5.97,5.43,5.79,7.58,5.36,Moving towards slowly
7.4,7.24,6.78,6.66,6.98,6.26,6.23,5.98,5.88,6.09,4.94,4.73,4.72,4.6,4.47,3.72,4.08,4.99,3.39,3.57,Moving towards slowly
37.88,37.01,36.79,36.23,36.2,36.08,35.35,34.4,34.37,34.22,33.7,35.26,32.36,31.95,30.91,30.38,30.07,30.12,29.84,29.02,Moving towards slowly
28.96,28.65,27.98,27.47,26.5,25.37,24.81,23.15,22.98,22.07,21.5,20.61,20.67,19.61,18.69,18.81,18.19,22.64,17.84,16.96,Moving towards slowly
11.47,10.72,10.37,9.75,9.96,9.26,9.62,8.84,9.03,8.74,8.66,10.1,8.28,7.66,7.68,7.96,7.99,7.05,6.99,6.25,Moving towards slowly
8.05,8.31,8.17,7.69,7.88,7.18,7.34,7.11,6.99,6.46,6,6.06,5.22,3.19,5.19,4.21,4.49,3.8,4.15,3.83,Moving towards slowly
14.63,15.01,14.63,14.22,13.6,13.8,13.2,13.17,13.05,12.13,12.77,12.66,5.5,12.62,12.9,12.67,12.21,11.99,11.11,10.97,Moving towards slowly
19.45,19.87,19.15,18.49,17.26,17.39,16.82,16.4,15.5,15.51,15.2,13.98,12.15,13.2,12.19,12.93,11.92,10.97,10.19,10.9,Moving towards slowly
10.51,9.18,9.56,8.89,9.04,12.15,10.87,7.57,7.88,7.66,7.24,6.43,6.28,5.83,5.48,5.73,4.63,4.93,5.29,4.9,Moving towards slowly
8.66,8.33,8.56,16.47,7.75,7.56,9,7.21,9.5,7.52,6.66,4.5,4.43,5.32,3.18,2.95,2.77,3.15,2.91,2.44,Moving towards slowly
14.34,14.18,14,13.82,13.64,13.4,12.72,12.94,13.19,12.53,12.39,12.24,12.17,11.98,11.71,11.46,11.25,11.09,11.25,11.05,Moving towards slowly
23.75,14.09,13.59,13.69,11.85,11.73,11.02,11.52,11.78,23.26,12.42,11.42,10.49,10.69,10.18,10.37,10.64,10.1,10,10.28,Moving towards slowly
10.2,10.33,9.64,9.2,7.92,7.5,7.67,3.35,5.04,7.11,6.86,7.24,7.14,7.13,5.43,5.79,5.56,5.33,4.64,4.98,Moving towards slowly
6.89,6.97,6.75,6.8,6.23,6.59,6.98,6.89,6.84,6.39,6.29,6.04,6.03,5.48,5.43,5.74,5.6,5.07,5.43,5.26,Moving towards slowly
13.51,13.8,13.19,12.9,13.16,13.03,12.79,12.44,12.22,11.85,12.07,11.42,18.05,10.93,11.06,10.79,10.46,10.27,9.54,8.81,Moving towards slowly
15.33,15.59,13.14,12.46,12.34,12.12,12.02,11.38,11.65,11.44,11.24,10.99,10.76,10.51,10.34,10.17,11.67,10.6,10.57,11.86,Moving towards slowly
8.85,8.57,8.23,9.09,7.72,6.75,5.9,5.87,5.01,6.36,5.14,5.32,4.61,4.38,3.77,3.43,3.06,3.43,2.95,2.63,Moving towards slowly
34.11,33.29,32.71,32.02,31.67,31.85,31.53,30.47,30.48,30,28.44,28.33,28.34,27.35,27.15,25.96,25.4,25.18,24.36,23.86,Moving towards slowly
48.54,45.23,39.66,32.11,26.87,22.67,18.83,14.95,11.04,8.07,6.35,5.5,4.43,3.41,2.97,3.1,1.99,1.54,1.25,1.92,Moving towards fast
59.09,65.22,58.94,57.11,51.93,49.23,47.08,41.39,38.51,33.35,29.42,28.71,26.88,25.24,18.9,15.53,13.88,11.72,9.2,6.74,Moving towards fast
57.08,43.99,35.97,27.97,24.59,20.32,18.33,15.58,14.08,12.88,10.77,9.4,8.42,7.48,6.94,6.08,4.66,4.11,2.76,2.36,Moving towards fast
66.33,61.84,57.79,55.52,51.47,48.18,43.42,38.8,33.28,22.57,24.57,19.95,20.21,17.67,14.13,11.7,8.83,7.22,6.26,4.67,Moving towards fast
58.94,55.53,51.43,45.06,41.14,37,34.49,31.91,33.05,25.93,25.15,19.67,15.8,11.7,10.93,107.75,73.23,108.74,4.1,108.38,Moving towards fast
58.07,53.4,46.13,41.19,34.18,28.95,23.85,19.74,14.15,12.43,9.99,7.98,5.89,5.27,3.94,3.06,2.34,1.93,1.64,1.69,Moving towards fast
38.44,36.33,31.78,27.19,29.84,21.59,15.28,12.41,8.96,6.69,4.35,2.6,1.99,1.84,2,2.01,1.97,1.99,2.02,1.57,Moving towards fast
60.21,59.55,54.7,50.19,47.95,44.18,41.64,35.24,29.7,25.31,27.24,19.73,15.79,30.87,7.97,6.28,4.56,3.27,3.09,2.37,Moving towards fast
56.04,51.89,47.75,42.71,38.51,34.4,30.68,26.02,22.69,20.03,16.15,11.34,7.6,5.51,3.76,2.92,2.04,19.75,4.38,3.36,Moving towards fast
52.08,47.14,41.92,35,31.19,26.86,21.77,20.25,15.88,14.15,11.95,12.81,9.18,8.48,7.27,5.79,5.69,4.13,3.72,2.54,Moving towards fast
60.15,55.51,46,38.37,32.38,28.54,23.79,19.99,17.71,14.9,12.61,10.51,8.44,7.12,6.22,4.87,2.98,2.6,2.24,2.66,Moving towards fast
60.13,58.3,55.9,51.57,49.14,38.36,29.52,22.84,24.25,14.9,10.64,7.58,5.96,4.22,3.21,2.11,1.74,1.24,1.78,1209.99,Moving towards fast
41.73,37.72,31.06,26.67,23.82,21.22,16.36,15.33,13.52,11.25,9.87,9.17,7.99,7.05,5.49,4.45,3.44,2.88,1.82,2.37,Moving towards fast
70.64,61.8,58.75,52.66,49.79,48.5,45.06,40.5,36.37,32.67,28.03,27.73,21.27,22.69,16.89,14.23,12.23,10.18,9.25,7.48,Moving towards fast
90.79,86.09,79.58,94.25,71.51,59.29,63.66,56.3,48.61,41.21,34.2,28.07,23.11,19.74,16.78,14.22,11.43,8.92,7.29,5.24,Moving towards fast
77.88,57.5,59.71,67.62,58.48,60.52,57.2,46.54,30.11,34.04,27.12,21.66,20.96,15.9,10.57,7.63,5.51,3.31,1.68,1.45,Moving towards fast
58.39,56.75,51.49,48.3,45.12,41.74,34.79,31.49,27.73,24.02,20.55,18.85,16.28,12.21,9.67,7.13,5.18,3.87,2.51,1.6,Moving towards fast
59.76,62.14,83.38,50.38,42.05,43,29.4,30.43,24.16,20.06,16.12,12.48,9.26,6.3,4.93,4.47,3.37,2.13,1.65,20.63,Moving towards fast
79.44,78.41,80.67,74.64,59.3,66.77,56.35,50.41,47.21,40.97,86.14,31.75,28.3,25.09,21.14,18.2,15,11.78,9.67,7.4,Moving towards fast
70.78,56.23,54.38,48.69,42.18,33.71,30.37,25.8,22.18,20.87,19.27,14.54,10.81,7.19,5.65,4.34,3.15,2.33,1.64,4.06,Moving towards fast
